PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41430255","Unveiling mitochondrial and PANoptosis-related biomarkers for premature ovarian insufficiency","Ma Z, Sun H.","J Ovarian Res. 2025 Dec 22;18(1):297. doi: 10.1186/s13048-025-01839-4.","Ma Z","J Ovarian Res","2025","2025/12/22","PMC12723934","","10.1186/s13048-025-01839-4"
"41467185","Multi-trait association analysis reveals shared genetic architecture between lung cancer and cardiometabolic diseases","Lyu Q, Wang XY, Chen E, Sun C, Qiu Z, Xie Y, He P.","iScience. 2025 Nov 19;28(12):114129. doi: 10.1016/j.isci.2025.114129. eCollection 2025 Dec 19.","Lyu Q","iScience","2025","2025/12/30","PMC12744264","","10.1016/j.isci.2025.114129"
"41405767","Multi-omics integration reveals CYP2B6 as a central node in the molecular landscape of non-small cell lung cancer","Tripathi V, Khare A, Dwivedi VD, Ranjan V.","Med Oncol. 2025 Dec 17;43(1):57. doi: 10.1007/s12032-025-03116-2.","Tripathi V","Med Oncol","2025","2025/12/17","","","10.1007/s12032-025-03116-2"
"41398384","Genome-wide meta-analysis with 2,206,440 individuals identifies 322 novel risk loci for obesity","Gao R, Su W, Deng J, Zhai B, Zhu G, Qiu J, Bian Z, Xiao H, Luan G, Wang R.","Int J Obes (Lond). 2025 Dec 15. doi: 10.1038/s41366-025-01979-z. Online ahead of print.","Gao R","Int J Obes (Lond)","2025","2025/12/15","","","10.1038/s41366-025-01979-z"
"41398767","Systematic druggable genome-wide mendelian randomization identifies therapeutic targets for childhood asthma","Bi J, Liu X, Zhang J, Zhao L.","Medicine (Baltimore). 2025 Dec 12;104(50):e46718. doi: 10.1097/MD.0000000000046718.","Bi J","Medicine (Baltimore)","2025","2025/12/16","PMC12708139","","10.1097/MD.0000000000046718"
"41372202","Revealing heterogeneity and damage response in the adult human utricle","Luca E, Ibeh N, Yamamoto R, Liang W, Bennett D, Lin V, Chen J, Lovett M, Dabdoub A.","Nat Commun. 2025 Dec 11;17(1):9. doi: 10.1038/s41467-025-66358-8.","Luca E","Nat Commun","2025","2025/12/10","PMC12764537","","10.1038/s41467-025-66358-8"
"41463537","A Graph-Based Deep Learning Framework with Gating and Omics-Linked Attention for Multi-Omics Integration and Biomarker Discovery","Huang Z, Deng Y, Liu J, Cai Z.","Biology (Basel). 2025 Dec 10;14(12):1764. doi: 10.3390/biology14121764.","Huang Z","Biology (Basel)","2025","2025/12/30","PMC12731160","","10.3390/biology14121764"
"41369928","Exploring the role of PANoptosis in idiopathic pulmonary fibrosis based on scRNA-seq and bulk-seq","Wang Z, Li Q, Chen Y, Gan L, Yuan L, Liu J, Xie Y, Zhou T, Ge X.","Clin Exp Med. 2025 Dec 10;26(1):89. doi: 10.1007/s10238-025-01990-8.","Wang Z","Clin Exp Med","2025","2025/12/10","PMC12769533","","10.1007/s10238-025-01990-8"
"41366697","Multi-omics and comprehensive multi-trait analysis identify shared genetic etiology of heart failure and related cancers","Shui W, Wu X, Liu H, Li Z, Zheng G.","Hum Genomics. 2025 Dec 9;20(1):13. doi: 10.1186/s40246-025-00888-6.","Shui W","Hum Genomics","2025","2025/12/10","","","10.1186/s40246-025-00888-6"
"41049088","MicroRNA mapping of bronchial aspirate for molecular phenotyping and prognostication in patients on mechanical ventilation","Molinero M, Benítez ID, Perez-Pons M, Rodríguez-Muñoz C, Gómez S, García-Hidalgo MC, Sanchez-Rodriguez M, Gort-Paniello C, Moncusí-Moix A, Torres G, Ayestarán JI, Socias L, Zuil M, Motos A, Fernández-Barat L, Canseco J, Nuñez MR, Ortega A, Postigo T, Caballero J, Barberà C, González J, Torres A, Barbé F, Bermejo-Martin JF, Estella Á, de Gonzalo-Calvo D; CIBERESUCICOVID Project (COV20/00110, ISCIII).","Mol Ther Nucleic Acids. 2025 Sep 12;36(4):102714. doi: 10.1016/j.omtn.2025.102714. eCollection 2025 Dec 9.","Molinero M","Mol Ther Nucleic Acids","2025","2025/10/06","PMC12495064","","10.1016/j.omtn.2025.102714"
"41368197","A new algorithm Precision OncoPanels (PrOPs) identifies short individualized actionable panels that can guide cancer treatment: a pan-cancer analysis of TCGA cohorts","Sriraman S, Das D, Chandra N.","NAR Genom Bioinform. 2025 Dec 8;7(4):lqaf177. doi: 10.1093/nargab/lqaf177. eCollection 2025 Dec.","Sriraman S","NAR Genom Bioinform","2025","2025/12/10","PMC12684385","","10.1093/nargab/lqaf177"
"41465132","Multi-Transcriptome-Informed Network Pharmacology Reveals Novel Biomarkers and Therapeutic Candidates for Parkinson's Disease","Pappu MAA, Alamin M, Noman MA, Sultana MH, Ahmed MF, Hossain MS, Latif MA, Faysal MF, Azad A, Alyami SA, Alotaibi N, Mollah MNH.","Genes (Basel). 2025 Dec 7;16(12):1459. doi: 10.3390/genes16121459.","Pappu MAA","Genes (Basel)","2025","2025/12/30","PMC12732698","","10.3390/genes16121459"
"41415585","Investigation for atherosclerotic plaque rupture with thrombosis in mice based on single-cell sequencing and bioinformatics analysis","Nie P, Wan F, Yao T, Li Y, Yan G, Pu J, Jin S.","Front Cardiovasc Med. 2025 Dec 3;12:1658170. doi: 10.3389/fcvm.2025.1658170. eCollection 2025.","Nie P","Front Cardiovasc Med","2025","2025/12/19","PMC12709391","","10.3389/fcvm.2025.1658170"
"41339793","LOSTdb: a manually curated multi-omics database for lung cancer research","Luo H, Yang Y, Gong Z, Liu L, Chen Y.","BMC Bioinformatics. 2025 Dec 3;26(1):290. doi: 10.1186/s12859-025-06319-6.","Luo H","BMC Bioinformatics","2025","2025/12/03","PMC12676782","","10.1186/s12859-025-06319-6"
"41335178","Deciphering the oncogenic role of key genes in HNSC: insights from multi-omics and functional studies","Alghamdi SA, Alissa M.","Discov Oncol. 2025 Dec 3;17(1):37. doi: 10.1007/s12672-025-04196-2.","Alghamdi SA","Discov Oncol","2025","2025/12/03","PMC12779791","","10.1007/s12672-025-04196-2"
"41409427","Genomics-driven drug repurposing and novel targets identification for sickle cell disease in Saudi patients","Alghubayshi A, Alshabeeb MA, Wijesinghe D, AlAwadh M, Alshammari S, Alrajeh K, Alkhairi MA, Islam I, Alaskar A.","Front Bioinform. 2025 Dec 2;5:1671626. doi: 10.3389/fbinf.2025.1671626. eCollection 2025.","Alghubayshi A","Front Bioinform","2025","2025/12/18","PMC12705626","","10.3389/fbinf.2025.1671626"
"41386873","Integrative multi-omics analysis identifies genetically supported druggable targets for inflammatory bowel disease","Gu SC, Zeng SL, Zhang W, Shen CY, Yuan CX, Song Y, Ye Q.","J Genet Eng Biotechnol. 2025 Dec;23(4):100608. doi: 10.1016/j.jgeb.2025.100608. Epub 2025 Nov 3.","Gu SC","J Genet Eng Biotechnol","2025","2025/12/12","PMC12630358","","10.1016/j.jgeb.2025.100608"
"41368819","Exploring the association between DNA methylation and pancreatic cancer susceptibility through epigenome-wide Mendelian randomization and multi-omics data integration","Wang P, Rong F, Liu F.","Epigenetics. 2025 Dec;20(1):2599682. doi: 10.1080/15592294.2025.2599682. Epub 2025 Dec 9.","Wang P","Epigenetics","2025","2025/12/10","PMC12694910","","10.1080/15592294.2025.2599682"
"41327383","Integrative bioinformatics and machine learning approach unveils potential biomarkers linking coronary atherosclerosis and glutamine metabolism-associated gene","Wang S, Zheng M, Yang J.","J Cardiothorac Surg. 2025 Dec 1;21(1):9. doi: 10.1186/s13019-025-03685-3.","Wang S","J Cardiothorac Surg","2025","2025/12/02","PMC12777062","","10.1186/s13019-025-03685-3"
"41165052","Assessing the causal relationship between the plasma proteome and epilepsy: A Mendelian randomization study","Fu J, Wu W, Shen S.","Epilepsia Open. 2025 Dec;10(6):1966-1977. doi: 10.1002/epi4.70175. Epub 2025 Oct 30.","Fu J","Epilepsia Open","2025","2025/10/30","PMC12716302","","10.1002/epi4.70175"
"41080754","Machine learning and WGCNA reveal the PVT1/miR-143-3p/CDK1 ceRNA axis as a key regulator in NSCLC","Safarzadeh A, Ataei S, Sayad A, Ghafouri-Fard S.","Biochem Biophys Rep. 2025 Sep 30;44:102292. doi: 10.1016/j.bbrep.2025.102292. eCollection 2025 Dec.","Safarzadeh A","Biochem Biophys Rep","2025","2025/10/13","PMC12514524","","10.1016/j.bbrep.2025.102292"
"41068259","Genome-wide association study provides insights into the genetic basis of Lewy body dementia","Zhu P, Jin Z, Wu S, Gao S, He Y, Hu S, Liu F, Chen Y, Wang M, Wang K, Liu G.","Mol Psychiatry. 2025 Dec;30(12):5813-5827. doi: 10.1038/s41380-025-03295-4. Epub 2025 Oct 9.","Zhu P","Mol Psychiatry","2025","2025/10/09","","","10.1038/s41380-025-03295-4"
"40888991","Integrating large-scale in vitro functional genomic screen and multi-omics data to identify novel breast cancer targets","Lin HK, Dai J, Pusztai L.","Breast Cancer Res Treat. 2025 Dec;214(3):319-327. doi: 10.1007/s10549-025-07817-0. Epub 2025 Sep 1.","Lin HK","Breast Cancer Res Treat","2025","2025/09/01","","","10.1007/s10549-025-07817-0"
"40828304","Multi-omics analysis and validation of autophagy-related diagnostic biomarker in osteoarthritis","Cai Y, Yu D, Meng J, Qiu Y, Liu J, Yao J.","Ann Med. 2025 Dec;57(1):2548045. doi: 10.1080/07853890.2025.2548045. Epub 2025 Aug 19.","Cai Y","Ann Med","2025","2025/08/19","PMC12366513","","10.1080/07853890.2025.2548045"
"40788820","Data-driven discovery of gene expression markers distinguishing pediatric acute lymphoblastic leukemia subtypes","Nourbakhsh M, Tom N, Schrøder Lassen A, Brasch Lind Petersen H, Stoltze UK, Wadt K, Schmiegelow K, Tiberti M, Papaleo E.","Mol Oncol. 2025 Dec;19(12):3548-3577. doi: 10.1002/1878-0261.70046. Epub 2025 Aug 11.","Nourbakhsh M","Mol Oncol","2025","2025/08/11","PMC12688183","","10.1002/1878-0261.70046"
"40640102","Diagnostic immune-related markers for diabetic kidney disease: a bioinformatics and machine learning approach","Wang Y, Zhou X, Jiang Y, Jiang L, Gao L, Liu X, Wang X, Sun C, Wu Y.","Ren Fail. 2025 Dec;47(1):2525467. doi: 10.1080/0886022X.2025.2525467. Epub 2025 Jul 10.","Wang Y","Ren Fail","2025","2025/07/10","PMC12247103","","10.1080/0886022X.2025.2525467"
"40571815","Chemotherapy-associated mutational process signature and genomic alterations associated with outcome in metastatic pancreatic cancer","Wang K, Zhang L, Li Q, Wang Q, Jiang Z, Wei Y, Zhang T, Li Z, Jiang Z, Yang H, Cai Y, Fan G, Chen B, Zhang H, Li Y, Sun J.","Clin Transl Oncol. 2025 Dec;27(12):4466-4480. doi: 10.1007/s12094-025-03975-1. Epub 2025 Jun 26.","Wang K","Clin Transl Oncol","2025","2025/06/26","","","10.1007/s12094-025-03975-1"
"40369957","Unveiling the role of oxidative stress in ANCA-associated glomerulonephritis through integrated machine learning and bioinformatics analyses","Xie L, Qiu X, Jia J, Yan T, Xu P.","Ren Fail. 2025 Dec;47(1):2499905. doi: 10.1080/0886022X.2025.2499905. Epub 2025 May 14.","Xie L","Ren Fail","2025","2025/05/15","PMC12082741","","10.1080/0886022X.2025.2499905"
"41323479","DBI Mediates the Progression of Ankylosing Spondylitis by Regulating CD56(dim) NK Cells Cytotoxicity Function","Zhao R, Huang Y, Qu X, Zhang J, Tang D, Xie Z, Luo X, Li Z, Li N.","Anal Cell Pathol (Amst). 2025 Nov 28;2025:3279688. doi: 10.1155/ancp/3279688. eCollection 2025.","Zhao R","Anal Cell Pathol (Amst)","2025","2025/12/01","PMC12661905","","10.1155/ancp/3279688"
"41315928","Epigenome-wide DNA methylation profiling reveals risk genes for migraine and its subtypes","Liu M, Shang J, Lei M, Wang W, Qiao J, Wang X, An Q, Cai W, Wang H, Zhu D, Peng Y, Liu F.","J Headache Pain. 2025 Nov 28;26(1):277. doi: 10.1186/s10194-025-02217-7.","Liu M","J Headache Pain","2025","2025/11/29","PMC12664279","","10.1186/s10194-025-02217-7"
"41341216","Identification of Mitochondrial Unfolded Protein Response-Related Genes and Diagnostic Biomarkers in Atherosclerosis by Integrative Multidimensional Analysis and Experimental Validation","Wu S, Liu Y, Li Y, Lai J, Wan Q, Wu J, Ma Y.","J Inflamm Res. 2025 Nov 27;18:16637-16665. doi: 10.2147/JIR.S562903. eCollection 2025.","Wu S","J Inflamm Res","2025","2025/12/04","PMC12670012","","10.2147/JIR.S562903"
"41333034","Multi-Omics Mendelian Randomization Identifies Therapeutic Targets for Sjögren's Disease with Clinical and Bayesian Validation","He J, Li K, Guo Z, Zhou X, Tang X.","J Inflamm Res. 2025 Nov 27;18:16685-16698. doi: 10.2147/JIR.S543644. eCollection 2025.","He J","J Inflamm Res","2025","2025/12/03","PMC12667418","","10.2147/JIR.S543644"
"41286868","Potential drug targets for chronic obstructive pulmonary disease in the plasma proteome identified through Mendelian randomization","Jia Q, Xiao J, Zhang W, Yu C, Song S, Li Y, Wang T.","BMC Pulm Med. 2025 Nov 24;25(1):542. doi: 10.1186/s12890-025-04006-z.","Jia Q","BMC Pulm Med","2025","2025/11/25","PMC12641967","","10.1186/s12890-025-04006-z"
"41275212","Genetic atlas of plasma metabolome across 40 human common diseases: mapping causal metabolites to disease risk","Li Y, Cai Y, Ma Q, Yang X, He C, Xu Y, Zhang M, Lu Z, Chen C, Ning C, Liu B, Wei Y, Li X, Jin M, Zhu X, Li B, Zhu Y, Huang C, Miao X, Tian J.","Genome Med. 2025 Nov 22;17(1):153. doi: 10.1186/s13073-025-01578-7.","Li Y","Genome Med","2025","2025/11/22","PMC12751435","","10.1186/s13073-025-01578-7"
"41463415","Integrating Human Proteomes with Genome-Wide Association Data Reveals Prioritized Therapeutic Candidates for Lung Squamous Cell Carcinoma","Zhang Y, Zhao Y, Fan L, Li X, Li Y.","Biology (Basel). 2025 Nov 21;14(12):1640. doi: 10.3390/biology14121640.","Zhang Y","Biology (Basel)","2025","2025/12/30","PMC12730066","","10.3390/biology14121640"
"41357157","Shared diagnostic genes and potential mechanism between allergic rhinitis and atopic dermatitis revealed by integrated transcriptomic analysis and machine learning","Zhang X, Sun M, Xu L, Bi J, Chen X, Yao L, Jia Y, Zhang Y, Meng W.","Front Allergy. 2025 Nov 21;6:1686370. doi: 10.3389/falgy.2025.1686370. eCollection 2025.","Zhang X","Front Allergy","2025","2025/12/08","PMC12678292","","10.3389/falgy.2025.1686370"
"41357242","Significance of SUMOylation in breast cancer progression: a comprehensive investigation using single-cell analysis and bioinformatics","He W, Sun Z, Li D, Yu T.","Front Immunol. 2025 Nov 20;16:1675874. doi: 10.3389/fimmu.2025.1675874. eCollection 2025.","He W","Front Immunol","2025","2025/12/08","PMC12676025","","10.3389/fimmu.2025.1675874"
"41305010","Harnessing Single-Cell RNA-Seq for Computational Drug Repurposing in Cancer Immunotherapy","Cheng OJ, Tran TTT, Chen YA, Tan AC.","Pharmaceuticals (Basel). 2025 Nov 20;18(11):1769. doi: 10.3390/ph18111769.","Cheng OJ","Pharmaceuticals (Basel)","2025","2025/11/27","PMC12655618","","10.3390/ph18111769"
"41347019","Analysis of hub genes temporal dynamics in cardiac ischemia/reperfusion injury: a bioinformatics and experimental study","Zuo Y, Yang SY, Qian XK, Liu K.","Front Physiol. 2025 Nov 19;16:1668586. doi: 10.3389/fphys.2025.1668586. eCollection 2025.","Zuo Y","Front Physiol","2025","2025/12/05","PMC12672348","","10.3389/fphys.2025.1668586"
"41261141","Genome-wide meta-analyses of non-response to antidepressants provide insights into underlying molecular genetics and suggest potential pharmacotherapies","Koch E, Puusepp T, Einarsson G, Mitchell BL, Harder A, Lin Y, García-Marín LM, Krebs K, Shadrin AA, Xiong Y; Estonian Biobank Research Team; Frei O, Lu Y, Hägg S, Rentería ME, Medland SE, Wray NR, Martin NG, Hübel C, Breen G, Thorgeirsson T, Stefánsson H, Stefánsson K, Lehto K, Milani L, Andreassen OA, O'Connell KS.","Mol Psychiatry. 2025 Nov 19. doi: 10.1038/s41380-025-03357-7. Online ahead of print.","Koch E","Mol Psychiatry","2025","2025/11/19","","","10.1038/s41380-025-03357-7"
"41254692","Integrative multi-omics and Mendelian randomization identify WWOX and THBS2 as potential therapeutic targets in mature T/NK-cell lymphoma","Qin Y, Wei J, He Y, Zheng Y, Lin Y, Liu Z, Huang Y.","J Transl Med. 2025 Nov 18;23(1):1306. doi: 10.1186/s12967-025-07301-9.","Qin Y","J Transl Med","2025","2025/11/19","PMC12625014","","10.1186/s12967-025-07301-9"
"41158172","Integrating plasma proteomics and genome-wide association data to identify therapeutic targets for retinal neurodegenerative diseases in Europeans","Guo YJ, Chen ZQ, Zhao J.","Int J Ophthalmol. 2025 Nov 18;18(11):2170-2182. doi: 10.18240/ijo.2025.11.21. eCollection 2025.","Guo YJ","Int J Ophthalmol","2025","2025/10/29","PMC12554521","","10.18240/ijo.2025.11.21"
"41254939","Unbiased human genomic characterization of polyglutamine disorder genes to guide biological understanding and therapeutic strategies","Namuli KL, Drögemöller BI, Wright GEB.","HGG Adv. 2025 Nov 17;7(1):100547. doi: 10.1016/j.xhgg.2025.100547. Online ahead of print.","Namuli KL","HGG Adv","2025","2025/11/19","PMC12719159","","10.1016/j.xhgg.2025.100547"
"41239638","Identification of immune-relevant candidate genes in atherosclerosis by WGCNA and single-cell analysis","Cao Y, Wei Y, Xue R, Yang Y, Sun W, Dong W.","Medicine (Baltimore). 2025 Nov 14;104(46):e45871. doi: 10.1097/MD.0000000000045871.","Cao Y","Medicine (Baltimore)","2025","2025/11/15","PMC12622645","","10.1097/MD.0000000000045871"
"41224746","mLeveraging genetic correlations to prioritize drug groups for repurposing in type 2 diabetes","Hjelholt AJ, Gholipourshahraki T, Bai Z, Shrestha M, Kjolby M, Sørensen P, Rohde PD.","Pharmacogenomics J. 2025 Nov 12;25(6):33. doi: 10.1038/s41397-025-00392-z.","Hjelholt AJ","Pharmacogenomics J","2025","2025/11/12","","","10.1038/s41397-025-00392-z"
"41212276","Systematic druggable genome-wide Mendelian randomization identifies therapeutic targets for gout","Liao WQ, Chen HY, Li YY, Xiao LJ, Qiu ZX, Hu SS, He SH, Luo L, Xie JJ, Zhang JY.","Naunyn Schmiedebergs Arch Pharmacol. 2025 Nov 10. doi: 10.1007/s00210-025-04787-4. Online ahead of print.","Liao WQ","Naunyn Schmiedebergs Arch Pharmacol","2025","2025/11/10","","","10.1007/s00210-025-04787-4"
"41244106","Cytokine Expression Profiling in Idiopathic Pulmonary Fibrosis: Insights From Integrative Proteomic Analysis","Shen C, Wang W, Li G, Wei D, Yang X, Jiang C, Sheng Y, Chen Y, Xu J, Ye S, Chen J.","Can Respir J. 2025 Nov 7;2025:2272156. doi: 10.1155/carj/2272156. eCollection 2025.","Shen C","Can Respir J","2025","2025/11/17","PMC12618133","","10.1155/carj/2272156"
"41204370","Identification of potential blood biomarkers of coronary artery disease using a cuproptosis gene set","Li J, Lei K, Hu P, Zhu Z, Wang L, Tang CE, Luo F.","Eur J Med Res. 2025 Nov 7;30(1):1082. doi: 10.1186/s40001-025-03276-x.","Li J","Eur J Med Res","2025","2025/11/07","PMC12595643","","10.1186/s40001-025-03276-x"
"41322003","HerbComb: An integrated database for the discovery of novel combinational therapies from herbal medicines","Wang Y, Liu R, Luo X, Yao J, Liu H, Yue C, Kho BS, Xu X, Lai S, Yu F, Zhang Y, Cao L, Tan N, Tang Y, Yang T, Tang J.","Comput Struct Biotechnol J. 2025 Nov 6;27:4915-4935. doi: 10.1016/j.csbj.2025.10.065. eCollection 2025.","Wang Y","Comput Struct Biotechnol J","2025","2025/12/01","PMC12657374","","10.1016/j.csbj.2025.10.065"
"41198831","Genomics of drug target prioritization for complex diseases","Chen R, Duffy Á, Do R.","Nat Rev Genet. 2025 Nov 6. doi: 10.1038/s41576-025-00904-4. Online ahead of print.","Chen R","Nat Rev Genet","2025","2025/11/06","","","10.1038/s41576-025-00904-4"
"41196918","Single-cell sequencing reveals the response mechanisms of vascular endothelial cells to glucocorticoids in diabetic retinopathy","Wang L, Zhang R, Wang L, Wang Y, Zhang X, Zhou G.","PLoS One. 2025 Nov 6;20(11):e0334230. doi: 10.1371/journal.pone.0334230. eCollection 2025.","Wang L","PLoS One","2025","2025/11/06","PMC12591416","","10.1371/journal.pone.0334230"
"41196851","Identification of potential biomarkers and therapeutic targets for underactive bladder based on bioinformatics analysis and experimental validation","Chen C, Hu Z, Ma Y, Xia Q, Ma Z, Li J, Zhao W.","PLoS One. 2025 Nov 6;20(11):e0335455. doi: 10.1371/journal.pone.0335455. eCollection 2025.","Chen C","PLoS One","2025","2025/11/06","PMC12591491","","10.1371/journal.pone.0335455"
"41191189","Aurora Kinase A inhibitor alisertib failed to exert its efficacy on TNBC cells due to consequential enrichment of polyploid giant cancer cells (PGCCs)","Thakur D, Sengupta D, Kar S, Chakrabarti J, Sen S, Hajra S, Laha A, Mahapatra E, Das S, Karmakar P, Mukherjee S.","Discov Oncol. 2025 Nov 5;16(1):2043. doi: 10.1007/s12672-025-03825-0.","Thakur D","Discov Oncol","2025","2025/11/05","PMC12589761","","10.1007/s12672-025-03825-0"
"41209747","Druggable Genome-Wide Mendelian Randomization Identifies Distinct Therapeutic Targets for Low Back Pain, Intervertebral Disk Degeneration, and Sciatica","Sun A, Li Z, Du Y, Liu H, Zhan Q, Liu Z.","J Pain Res. 2025 Nov 4;18:5769-5780. doi: 10.2147/JPR.S542713. eCollection 2025.","Sun A","J Pain Res","2025","2025/11/10","PMC12595932","","10.2147/JPR.S542713"
"41304759","Pharmacogenomic Drug-Target Network Analysis Reveals Similarity Profiles Among FDA-Approved Cancer Drugs","Berral-González A, Arroyo MM, Alonso-López D, Rivas-López MJ, Sánchez-Santos JM, De Las Rivas J.","Pharmaceutics. 2025 Nov 3;17(11):1421. doi: 10.3390/pharmaceutics17111421.","Berral-González A","Pharmaceutics","2025","2025/11/27","PMC12655765","","10.3390/pharmaceutics17111421"
"41251092","Genome-Wide Meta-Analysis of Parkinson's Disease Associated Genetic Loci and Validation of Therapeutic Targets","Yang S, Wu Q, Yang X.","Brain Behav. 2025 Nov;15(11):e71087. doi: 10.1002/brb3.71087.","Yang S","Brain Behav","2025","2025/11/18","PMC12623845","","10.1002/brb3.71087"
"41189279","Identification and Verification of Immune Metabolism-Related Biomarkers and Immune Infiltration Landscape for Pediatric Opsoclonus Myoclonus Ataxia Syndrome in Neuroblastoma","Li M, Li J.","CNS Neurosci Ther. 2025 Nov;31(11):e70610. doi: 10.1111/cns.70610.","Li M","CNS Neurosci Ther","2025","2025/11/05","PMC12586342","","10.1111/cns.70610"
"41188533","Multi-ancestry genome-wide association analyses of polycystic ovary syndrome","Zhao H, Xu Y, Xue B, Zhao S, Zhang M, Wu XK, Wang T, Wen Y, Li S, Zhang Q, Yang Z, Sun H, Pan T, Lian Y, Gao X, Gao C, Wang Z, Wu C, Zhang C, Jian X, Peng L, Zhang X, Wang B, Wei L, He Y, Xia D, Wu Z, Yang Q, Sun Y, Ding Y, Du S, Xia G, Jing Y, Xu H, Shi W, Liu J, He L, Chen ZJ, Cao Y, Li Z, Shi Y.","Nat Genet. 2025 Nov;57(11):2669-2681. doi: 10.1038/s41588-025-02393-x. Epub 2025 Nov 4.","Zhao H","Nat Genet","2025","2025/11/04","","","10.1038/s41588-025-02393-x"
